Эт азыктарын керектөө copy
"Сиздин жаш курактагы тобыңуз кайсы? 
(К какой возрастной группе вы относитесь?)","Сиздин жынысыңыз кайсы?﻿
(Ваш пол?)","Сиз жумасына канча күн эт жейсиз? 
(Сколько дней в неделю вы употребляете мясо?)","Кайсы эт түрлөрүн адатта жейсиз?﻿ 
(Какие виды мяса вы обычно употребляете?﻿)","Этти негизи каяктан аласынар?
(Какой ваш основной источник мяса?","Эттин булагы (мисалы, жергиликтүү, органикалык, фермада өстүрүлгөн) сиздин сатып алуу чечимиңизде канчалык маанилүү?﻿ 
(Насколько важен источник мяса (например, местное, органическое, фермерское) при принятии решения о покупке?﻿)","Эт керектөөнүн айлана-чөйрөгө тийгизген таасири жөнүндө тынчсызданасызбы?﻿ 
(Вас беспокоит влияние потребления мяса на окружающую среду?﻿)","Жергиликтүү фермерлерден же өндүрүүчүлөрдөн этти канчалык тез-тез сатып аласыз?﻿ 
(Как часто вы покупаете мясо у местных фермеров или производителей?﻿)","Эт керектөөнү азайтууну ойлонуп көрөсүзбү?﻿ 
(Вы рассматриваете возможность сократить потребление мяса?﻿)","Сиз эт керектөөнү азайтууну ден соолук же айлана-чөйрө үчүн ойлонуп жатасызбы?﻿ 
(Вы рассматриваете сокращение потребления мяса по причинам, связанным со здоровьем или окружающей средой?﻿)","Сиз же жакын туугандарыңыз Кыргызстанда айылда же фермада жашайбы?﻿ 
(Вы или ваши близкие родственники живёте в деревне или на ферме в Кыргызстане?﻿)","Сиз билген үй-бүлө кышында жылытуу же тамак бышыруу үчүн тезек колдонобу?﻿ 
(Использует ли знакомое вам хозяйство навоз скота как топливо для отопления или приготовления пищи зимой?﻿)","Тезек колдоноoрдон мурун кантип иштетишет?﻿
(Как обрабатывают навоз животных перед использованием в качестве топлива?﻿)","Тезек жасап жатканда башка материалдар (мисалы, саман) менен аралаштырасынарбы?﻿ 
(Смешивает ли хозяйство навоз с другими материалами (например, соломой) при формировании топливных лепёшек?﻿)","Тезекти отун катары колдонгондо жыгач же көмүргө салыштырмалуу болжолдуу канча акча үнөмдөйт? (Сумманы сом менен көрсөтүңүз)﻿ 
(Какова предполагаемая экономия средств при использовании навоза в качестве топлива вместо дров или угля? (Укажите сумму в сомах)﻿)","Малдарга эмне тамак беришет?﻿ 
(Чем кормят скот?﻿)","Тамак-аш калдыктарын малга берген үчүн үй-бүлөнүн чыгымдары азайат деп ойлойсузбу?﻿
 (Считаете ли вы, что кормление скота пищевыми отходами снижает расходы на корм в хозяйстве?﻿)","Тамак-аш калдыктарын малга берерден мурун атайын иштетүү (мисалы: майдалоо, ачытуу) жүргүзүлөбү?﻿ 
(Применяются ли специальные методы обработки (например, измельчение, ферментация) кухонных отходов перед кормлением скота?﻿)","Кыргызстанда колдонулган башка туруктуу салттуу тажрыйбаларды билесизби?﻿ 

(Знаете ли вы о других устойчивых традиционных практиках, применяемых в Кыргызстане?﻿)","Эгер сиз шаарда жашасаңыз, бул тажрыйбалар тууралуу туугандарыңыздан канчалык көп угасыз?﻿
 (Если вы живёте в городе, как часто вы узнаёте об этих практиках от родственников?﻿)","Сиз ушул салттуу тажрыйбаларды өзүңүз байкадыңызбы же жардам бердиңизби? (Ооба/Жок; кайсынысын көрсөтүңүз)﻿ 
(Вы лично наблюдали или помогали в традиционных практиках? (Да/Нет; укажите, каких)﻿)","Бул тезек, калдыктарды колдонуу, же башка туруктуу тажрыйбалар белгилүү учурларда же майрамдарда үйрөтүлөбү?﻿
(Обучают ли этим практикам использования навоза и отходов или другим устойчивым практикам в определённые сезоны или на фестивалях?﻿)","Үй-бүлөдө тезек же компост жасоону ким көзөмөлдөйт?﻿
(Кто в семье обычно отвечает за изготовление тезеков или компоста?﻿)","Бул тажрыйбалар кантип муундан муунга өткөрүлөт?﻿
(Каким образом эти навыки передаются из поколения в поколение?﻿)","Бул тажрыйбаларды кеңири жайылтуу керек деп ойлойсузбу?﻿

(Считаете ли вы, что эти практики следует продвигать для более широкого применения?﻿)","Tезек жасоо, компост жасоо, же башка салттуу туруктуу тажрыйбалар боюнча үйронүү үчүн семинарларга катышууну же колдонгонду үйронүүнү каалайт белеңиз?﻿ 

(Хотели бы вы изучать или поддерживать общественные мастер-классы по производству топлива из навоза, компостированию или другим традиционным устойчивым практикам?﻿)","Сиздин оюңузча, тезек жана калдыктарга негизделген салттуу жана туруктуу тажрыйбаларды Кыргызстан боюнча кантип кеңири жайылтса болот?﻿ 
(Как вы считаете, как можно масштабировать традиционные устойчивые практики, основанные на навозе и отходах, по всему Кыргызстану?﻿)"
18-25,Эркек (мужской),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),2,Балким (Возможно),Эч качан (никогда),Жок (нет),Ден соолук (здоровье),Жок (нет),Ооба (да),Кургатуу (сушка),Балким (возможно),5000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Жок (нет),Нет,3,Нет,Балким (возможно),Жаштар  (молодёжь ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Балким (возможно),Больше огласки
0-18,Аял (женский),3-4 күн (3-4 дня),Тоок эти (курица);Жылкы эти (конина),мал базар (скотный рынок),5,Балким (Возможно),Дайыма (регулярно),Жок (нет),Я сама не любитель мяса,Ооба (да),Ооба (да),Кургатуу (сушка),Балким (возможно),Точно не могу сказать но ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Балким (возможно),"Ооба, айыл жерлеринде органикалык калдыктарды жер семирткич катары колдонушат, суу үнөмдөө үчүн арык системасын жана жамгыр суусун топтоо ыкмасын пайдаланышат",3,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Балким (возможно),"Маалыматтык кампанияларды жүргүзүп, айыл жерлеринде окутууларды уюштуруу жана мамлекеттик колдоо көрсөтүү аркылуу бул тажрыйбаларды кеңири жайылтса болот"
18-25,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),уйдо остурулгон жaныбарлар (домашние),5,Ооба (Да),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Жок (нет),Кургатуу (сушка),Жок (нет),.,чөп жана буудай  (сено и пшеница ),Балким (возможно),Жок (нет),.,1,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),.
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),5,Жок (Нет),Сейрек (редко),Жок (нет),Айлана-чөйрө (окружающая среда),Ооба (да),Балким (возможно),Кургатуу (сушка),Балким (возможно),Билбейм,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Балким (возможно),Балким (возможно),Билбейм,1,Өзүм байкадым,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),Реклама аркылуу
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),мал базар (скотный рынок),5,Балким (Возможно),Дайыма (регулярно),Ооба (да),Ден соолук (здоровье),Ооба (да),Жок (нет),Кургатуу (сушка),Жок (нет),30-40%,чөп жана буудай  (сено и пшеница ),Балким (возможно),Ооба (да),Жок,3,Ооба ,Жок (нет),Аялдар (женщины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Балким (возможно),Ооба (да),-
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица),базарлар (местные рынки),4,Балким (Возможно),Дайыма (регулярно),Жок (нет),Ден соолук (здоровье),Жок (нет),Жок (нет),Кургатуу (сушка),Ооба (да),30000,чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Жок,2,Жок,Жок (нет),Аялдар (женщины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Ооба (да),Билбейм 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),супермаркеттер (супермаркеты),5,Жок (Нет),Дайыма (регулярно),Жок (нет),ваще ойлобойм андайн жонундо 🤔,Ооба (да),Балким (возможно),Билбейт экенмин ,Балким (возможно),билбейм ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Балким (возможно),Жок ,1,Жок ,Жок (нет),Аялдар (женщины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Балким (возможно),🤷🏻‍♀️🤷🏻
18-25,Эркек (мужской),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),5,Ооба (Да),Кээде (иногда),Балким (возможно),Ден соолук (здоровье),Жок (нет),Ооба (да),Кургатуу (сушка),Балким (возможно),500-1000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Нет,3,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Балким (возможно),Не знаю 
36-45,Аял (женский),3-4 күн (3-4 дня),Тоок эти (курица);Кой эти (баранина),супермаркеттер (супермаркеты),5,Ооба (Да),Кээде (иногда),Ооба (да),Ден соолук (здоровье);Айлана-чөйрө (окружающая среда),Ооба (да),Жок (нет),Кургатуу (сушка),Ооба (да),400 сом,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Балким (возможно),Жок,3,Да помогала в деревне ,Жок (нет),Карылар (пожилые),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Балким (возможно),"Напомнить о старой практике 
Организовывать мероприятия "
18-25,Аял (женский),3-4 күн (3-4 дня),Тоок эти (курица),супермаркеттер (супермаркеты),2,Жок (Нет),Сейрек (редко),Балким (возможно),Ден соолук (здоровье),Жок (нет),Ооба (да),Компосттоо (компостирование),Балким (возможно),Намного дешевле,үйдөгү тамак калдыктары  (пищевые отходы из дома );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Ооба (да),"В зависимости от статуса подают орган вырезанного скота, для того чтобы каждая часть разделанной тушки был употреблен",3,Нет,Ооба (да),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Ооба (да),"Единственное, что в голову приходит это сделать своего рода арт композиции, выставки для переосмысления "
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),3,Жок (Нет),Дайыма (регулярно),Жок (нет),не рассматриваю ,Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),не знаю ,бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Жок (нет),Ооба (да),не припомню,4,да,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Ооба (да),не знаю 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),4,Балким (Возможно),Дайыма (регулярно),Жок (нет),Нет,Ооба (да),Ооба (да),Кургатуу (сушка),Балким (возможно),"Точно не знаю, ",Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Ооба (да),Балким (возможно),Ну много есть традиций. ,3,.,Жок (нет),Жаштар  (молодёжь ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Ооба (да),.
18-25,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина),супермаркеттер (супермаркеты),4,Ооба (Да),Сейрек (редко),Ооба (да),Айлана-чөйрө (окружающая среда),Жок (нет),Жок (нет),Кургатуу (сушка),Балким (возможно),-,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );чөп жана буудай  (сено и пшеница ),Ооба (да),Жок (нет),-,3,Жок ,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Жок (нет),Жок (нет),"Майрамдар, сабак беруу"
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица),базарлар (местные рынки),3,Жок (Нет),Сейрек (редко),Жок (нет),Я не рассматриваю сокращение потребления мяса ,Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Не знаю ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Не,1,В детстве навоз сушили ,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),Без понятия 
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Чочконун эти (свинина),супермаркеттер (супермаркеты),4,Балким (Возможно),Сейрек (редко),Жок (нет),не рассматриваю ,Жок (нет),Ооба (да),Кургатуу (сушка),Ооба (да),не уверена,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),жок,2,байкадым,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),обучающие видео/журналы
18-25,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Балык,супермаркеттер (супермаркеты),4,Ооба (Да),Сейрек (редко),Жок (нет),Айлана-чөйрө (окружающая среда),Жок (нет),Ооба (да),Кургатуу (сушка),Балким (возможно),20000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница );Жем,Ооба (да),Ооба (да),Жок,2,Жок,Балким (возможно),Жаштар  (молодёжь ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Интернетте ылайыктуу контентти жүктөө
18-25,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина),уйдо остурулгон жaныбарлар (домашние),5,Балким (Возможно),Дайыма (регулярно),Ооба (да),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Не знаю ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Жок (нет),Жок (нет),Нет,1,Да,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Балким (возможно),"Популяризовать, говорить о плюсах"
36-45,Аял (женский),күн сайын (eжедневно),Уй эти (говядина),Покупаю у фермеров.,1,Балким (Возможно),Дайыма (регулярно),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),95% экономии,чөп жана буудай  (сено и пшеница ),Ооба (да),Ооба (да),Нет,1,Нет,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),Возможно только если у тебя 1 или 2 коровы.
18-25,Аял (женский),1-2 күн (1-2 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина),супермаркеттер (супермаркеты),4,Балким (Возможно),Кээде (иногда),Ооба (да),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),Не знаю,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Ооба (да),Жок (нет),Нет,2,Нет,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),"Распространение в медиа, соц сетях"
18-25,Аял (женский),1-2 күн (1-2 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),4,Жок (Нет),Кээде (иногда),Жок (нет),Ден соолук (здоровье);ойлонбойм ,Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),"точно билбейм, жакшв эле",чөп жана буудай  (сено и пшеница ),Жок (нет),Балким (возможно),жок,4,ооба,Ооба (да),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),муундан муунга уйротуу 
0-18,Эркек (мужской),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),базарлар (местные рынки),3,Балким (Возможно),Дайыма (регулярно),Балким (возможно),Айлана-чөйрө (окружающая среда),Ооба (да),Жок (нет),Кургатуу (сушка),Балким (возможно),не знаю ,чөп жана буудай  (сено и пшеница ),Балким (возможно),Ооба (да),разрезание горла скоту и выливание крови с туши перед разделкой ,4,да в разделывании мяса ,Ооба (да),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Ооба (да),повсеместное использование в место угля в нужных случаях 
