Age,Gender,Frequency,Types of Meat,Purchase Place,Significance of Meat Source,Are you worried about the impact of meat consumption on the environment?,How often do you purchase from local farmers?,Do you want to decrease your meat consumption?,Reasons,Does anyone you know live in the countryside?,"Does anyone you know use ""tezek""?","How do you process ""tezek""?","Do you add other materials to ""tezek""?","How much did u save by using ""tezeks?",What do you feed your livestock?,Do you think feeding livestock leftovers decreases monthly expenditure?,Do you process leftovers before feeding livestock>,Do you know of other sustainable practices?,How often do you here of these practices from your relatives?,"Did you witness or help with these pratcies, how?",Are these practices taught at any seasons or festivals?,Who are responsible for dung and composting?,How are these practices passed to other generations?,Do you think these practices should be spread wider?,Would you support events and festivals to support these practices?,How can we spread these practices more?
36-45,Male,7,Beef,wet markets,5,0,1,0,"1, 2",0,1,1,0,2000,4,2,0,No,1,No,0,3,2,1,1,Videos
36-45,Female,3,Lamb,wet markets,5,1,2,2,1,1,1,1,0,0,4,0,2,No,4,Yes,0,3,1,1,0,Through seminars
46-60,Female,7,"Beef, Chicken, Lamb, Horse",wet markets,5,0,3,0,1,1,1,1,2,18000,"1, 2, 4, 5",2,1,No,1,I noticed myself,0,3,1,1,0,"Basically, this is widely used in Kyrgyzstan"
36-45,Female,5,"Beef, Chicken",supermarkets,3,1,2,2,2,1,1,1,1,0,"3, 4",0,0,No,3,No,0,2,2,1,1,Yes
18-25,Female,5,"Beef, Chicken, Lamb, Horse",supermarkets,2,2,2,0,2,1,1,1,0,0,"1, 3, 4",1,2,"Yes, for example, they use the skin of the animal to make carpets, eat all the meat, and give the bones to the dogs",3,"Yes, with dung and waste",2,1,1,1,1,"Through social networks, I think we should show our youth how necessary and meaningful our traditions are"
,,,,,,0 - No,Always - 3,0 - No,Health - 1,0 - No,0 - No,Drying - 1,0 - No,Dont know - 0,Fruit or green leftovers - 1,0 - No,0 - No,,,,0 - No,Elderly - 1,Dont know - 0,0 - No,0 - No,
,,,,,,1 - Yes,Sometimes - 2,1 - Yes,Environment - 2,1 - Yes,1 - Yes,Composting - 2,1 - Yes,,Food leftovers - 2,1 - Yes,1 - Yes,,,,1 - Yes,Women - 2,Hands on practice - 1,1 - Yes,1 - Yes,
,,,,,,2 - Maybe,Rarely - 1,2 - Maybe,No - 0,,2 - Maybe,Dont know - 0,2 - Maybe,,Graden leftovers - 3,2 - Maybe,2 - Maybe,,,,2 - Maybe,Men - 3,Observation - 2,2 - Maybe,2 - Maybe,
,,,,,,,Never - 0,,,,,,,,Wheat - 4,,,,,,,Youth - 4,,,,
,,,,,,,,,,,,,,,Bread leftovers - 5,,,,,,,,,,,
,,,,,,,,,,,,,,,Other - 0,,,,,,,,,,,
